train_loss,val_loss,train_acc,val_acc
0.793968373298645,0.15558720022439956,82.825,97.0
0.04772080421447754,0.09896718244254589,99.625,97.6
0.010136309623718262,0.08592655947059392,100.0,97.7
0.004626325249671936,0.08882543674856425,100.0,97.4
0.00302549934387207,0.09017917161807418,100.0,97.4
0.002212398827075958,0.0929389700051397,100.0,97.3
0.0017270082235336303,0.0927213802933693,100.0,97.4
0.001414693832397461,0.09544174027629197,100.0,97.5
0.0011986707150936126,0.09663745926693082,100.0,97.4
0.0010451330244541169,0.09727078712172807,100.0,97.4
0.0009332910478115082,0.09801983688212931,100.0,97.4
0.0008501760959625244,0.09909047726728022,100.0,97.4
0.0007881273627281189,0.09988645063247531,100.0,97.3
0.0007419629991054535,0.10035597176291049,100.0,97.4
0.0007081156969070434,0.10087495662365109,100.0,97.3
0.0006837387084960937,0.10115817168913782,100.0,97.4
0.0006671334505081177,0.10134870266728103,100.0,97.3
0.0006566970050334931,0.1014826132869348,100.0,97.3
0.0006509691178798676,0.10152115190867335,100.0,97.3
0.0006487690806388855,0.10153755769692362,100.0,97.3
