train_loss,val_loss,train_acc,val_acc
0.3315289451777935,0.07698029541969299,90.0,98.2
0.016014691680669785,0.05909330513142049,99.575,98.8
0.017572353839874266,0.05787074404163286,99.45,98.2
0.004553400367498398,0.052963260367512706,99.9,98.7
0.008218049824237824,0.05317456552665681,99.8,98.4
0.001993798941373825,0.03776075863302685,99.95,98.9
0.00029150164127349855,0.037635240437346514,100.0,99.0
0.00017442607879638672,0.03788596566405613,100.0,99.0
0.00013680458068847655,0.03804628540913109,100.0,99.1
0.00011548802256584168,0.03815884021949023,100.0,99.1
0.00010167658329010009,0.038117643700446936,100.0,99.1
9.208875894546508e-05,0.03814458949532127,100.0,99.1
8.511579036712647e-05,0.038236254323623146,100.0,99.1
8.001002669334411e-05,0.038254707434796725,100.0,99.1
7.630616426467895e-05,0.03828674505086383,100.0,99.0
7.370519638061523e-05,0.03830029643283342,100.0,99.0
7.19631016254425e-05,0.03831220563777606,100.0,99.0
7.083442807197571e-05,0.03832229758193716,100.0,99.0
7.024773955345154e-05,0.03832581485059927,100.0,99.0
7.004496455192566e-05,0.038326091930677646,100.0,99.0
